id,total_men,total_women,total_pop,age_0_10,age_11_19,age_20_39,age_40_59,age_60_and_over,age1,age2,age3,age4,age5,illiteracy,illiteracy11_19,illiteracy20_39,illiteracy40_59,illiteracy_60,illiteracy_m,illiteracy_f,illiteracy_m_11_19,illiteracy_f_11_19,illiteracy_m_21_39,illiteracy_f_21_39,illiteracy_m_40_59,illiteracy_f_40_59,illiteracy_m_60,illiteracy_f_60,orthodox,protestant,rcatholic,muslim,otherrel,orthd,cthlc,evngl,muslm,othr_r,s_lang_srb_cro_svn,s_lang_othr_slavic,s_lang_hungarian,s_lang_german,s_lang_albanian,s_lang_other,t_employed_agriculture_perc,t_employed_agriculture_men_perc,t_employed_agriculture_women_perc,t_employed_industry_perc,t_employed_industry_men_perc,t_employed_industry_women_perc,t_employed_commerce_perc,t_employed_commerce_men_perc,t_employed_commerce_women_perc,t_employed_public_service_perc,t_employed_public_service_men_perc,t_employed_public_service_women_perc,t_employed_other_perc,t_employed_other_men_perc,t_employed_other_women_perc
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16288,17263,33551,8748,5028,9819,6109,3847,26.1,15,29.3,18.2,11.5,5.5,1.213206046,2.148894999,5.025372401,20.22355082,4.6,6.2,1.1,1.3,2.5,1.9,3.8,6,15.8,24.7,0.1,0.1,99.8,0,0.05,20,33490,20,4,17,99.26,0.21,0.01,0.49,0.000,0.02,75.99930078,70.67682983,85.23832297,14.42139611,19.17531454,6.169296987,4.07295187,5.482597116,1.62601626,2.662859807,2.902011204,2.24772836,2.843491435,1.763247314,4.718635422
2,28413,30763,59176,14397,8858,18102,11110,6709,24.3,15,30.6,18.8,11.3,4.7,1.46759991,2.182079328,4.473447345,15.88910419,4.5,4.8,1.5,1.4,2.4,2,4.4,4.5,14.4,17.3,0.1,0.2,99.6,0,0.05,82,58946,110,9,29,98.70,0.26,0.04,0.95,0.002,0.05,61.71721649,55.0679369,72.03684253,25.91337935,31.81321256,16.75688778,4.226556069,4.883127701,3.207562414,2.127524853,2.488416888,1.567423447,5.445450516,4.810245198,6.431283833
3,7764,8977,16741,4897,2509,4701,2718,1916,29.3,15,28.1,16.2,11.4,5.1,1.634117178,2.042118698,3.863134658,18.99791232,3.9,6.1,1,2.3,2.3,1.8,4.4,3.5,12.2,23.8,1.2,0,98.6,0,0.19,202,16501,1,6,31,95.74,0.15,0.10,3.38,0.000,0.64,1.746724891,1.413189771,2.46555475,31.85474604,32.13324361,31.25453227,17.74304758,19.61641992,13.70558376,27.41898414,31.76312248,18.05656273,21.23649736,15.07402423,34.5177665
4,18313,19807,38120,9865,5798,10995,7353,4109,25.9,15.2,28.8,19.3,10.8,9.2,1.483270093,3.256025466,10.62151503,33.19542468,7.8,10.4,1.9,1.1,3.2,3.3,8.5,12.2,26.1,40.5,0.2,1.8,97.4,0,0.55,79,37134,694,3,210,84.70,0.13,14.81,0.23,0.000,0.13,80.92188036,75.74634548,87.39063304,10.61420565,15.87399629,4.040144107,2.436234702,3.191270331,1.492537313,2.344732929,2.635371629,1.981471951,3.682946357,2.553016265,5.095213587
5,16227,16131,32358,8630,4763,9762,5991,3212,26.7,14.7,30.2,18.5,9.9,13,3.254251522,6.013112067,17.67651477,39.9750934,11.8,14.2,3.4,3.1,5.6,6.4,15.5,19.8,35.9,44.3,0.2,0.3,99.5,0,0.03,69,32194,85,1,9,96.57,0.17,0.01,3.20,0.000,0.04,87.83507164,85.18729179,91.80367799,7.203431134,9.896806695,3.166483985,1.564479969,1.852604209,1.132626964,2.159079832,2.332006175,1.899890391,1.237937421,0.731291135,1.997320667
6,8500,9084,17584,4629,2424,5395,2929,2207,26.3,13.8,30.7,16.7,12.6,9.2,4.372937294,4.37442076,9.935131444,25.46443135,8.7,9.7,5.6,3.2,4.3,4.4,8.4,11,23.5,27.2,0,0,99.9,0,0.00,8,17574,2,0,0,99.77,0.06,0.00,0.16,0.000,0.01,59.42692737,50.34602076,75.91337411,26.97434091,35.77672555,10.99355265,4.180611825,5.190311419,2.347495454,3.100228994,3.441995993,2.479748719,6.317890905,5.244946276,8.265829063
7,18759,20811,39570,10718,5915,11947,6802,4188,27.1,14.9,30.2,17.2,10.6,5.3,1.301775148,1.715911944,5.792413996,20.10506208,5.5,5.1,1.7,0.9,2.1,1.4,6.1,5.6,20.9,19.4,0.1,0,99.8,0,0.02,55,39483,17,8,7,99.27,0.16,0.00,0.56,0.003,0.01,70.75549169,62.18081435,83.35022808,19.73927325,28.17460317,7.349214394,3.674810101,4.382332643,2.635580335,2.278792856,2.363699103,2.154080081,4.537056046,2.898550725,6.943740497
8,18389,19565,37954,9976,5822,10677,6394,5085,26.3,15.3,28.1,16.8,13.4,5,1.116454827,1.891917205,5.08289021,16.10619469,4.5,5.6,1.1,1.1,2.1,1.7,4.6,5.5,13.7,18.2,0.1,0,99.8,0,0.03,47,37881,12,2,12,76.45,0.21,0.01,23.24,0.000,0.10,61.27912506,55.56732964,69.27642091,27.24203519,34.39843495,17.22209541,3.309557775,3.676230844,2.796165259,3.147883975,2.852950766,3.560830861,5.021398003,3.505053799,7.14448756
9,10294,10940,21234,5708,3193,5903,4018,2412,26.9,15,27.8,18.9,11.4,6.9,2.505480739,3.794680671,6.893977103,20.43946932,6.9,6.9,2.1,2.9,4.4,3.2,6.8,7,19.3,21.5,0.1,0,99.8,0,0.01,21,21198,10,2,3,98.34,0.17,0.02,1.45,0.000,0.02,68.06752509,64.81883453,73.08982963,18.71641488,23.86875939,10.75116159,3.579032749,4.191016864,2.632937532,2.843962283,2.679913174,3.097573567,6.79306499,4.441476039,10.42849768
